pais,plan,rowid,correo,nombre,antiguedad,costo_plan,usuario_id,_airbyte_ab_id,_airbyte_emitted_at
AR,['basic'],7.0908850515001344e+17,pugacynthia@yahoo.com,Margarita Ramiro Paredes,May 2016,3.28,b73ad223-d651-445c-bd84-7c7dfe939f62,94483165-1e3c-4cef-976b-56ecb3c2252e,2021-11-25 21:40:37.607 UTC
AR,['basic'],7.0908850513716838e+17,geraldo62@yahoo.com,Itziar Cuesta Cobos,Dec 2018,3.28,1f5a059e-eae9-48df-9494-fe2026e2247a,22b236aa-aa4e-4298-9062-bd0add7c5669,2021-11-25 21:40:37.607 UTC
AR,['basic'],7.090885051711488e+17,fabiohuerta@gmail.com,Clarisa Arrieta Puerta,Feb 2015,3.28,dfec7f87-6796-418b-8497-554c3a64fa11,82e98841-e263-4013-9083-c50fa224745d,2021-11-25 21:40:37.607 UTC
AR,['basic'],7.0908850511088845e+17,bernattristan@hotmail.com,Esmeralda Falcón Santos,Jan 2015,3.28,bd5bb242-a242-47e8-b197-f7dfe08efa40,597b2dd6-2dd6-43a1-be00-42f41ea1013d,2021-11-25 21:40:37.607 UTC
AR,['basic'],7.0908850516276019e+17,yaviles@gmail.com,Dr. Elena Contreras,Jul 2021,3.28,6f918d91-925a-4e51-b58f-16f3eb5d8a9e,dec6c2cb-308b-41b1-bab0-25bb2ae2829f,2021-11-25 21:40:37.607 UTC
AR,['basic'],7.0908850515823821e+17,cosmemancebo@gmail.com,José Mari Cristóbal Torrecilla Benet,Aug 2019,3.28,f63df056-3390-428e-b744-cf28891f2a05,54920dec-ea50-428d-bb17-c3e42a49c99b,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.09088505101779e+17,montemayormitzy@hotmail.com,Aldonza Aurelio Covarrubias Saldivar,Jan 2016,7.87,8caff544-198b-4940-91a4-22d0899fd5b0,40fcae89-53a2-4106-8cec-f7869c205e91,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.0908850516072858e+17,hmontero@yahoo.com,Gerónimo Quirós Manjón,Feb 2020,7.87,b5670d48-5526-4473-9cd5-e7866802176c,2f5b0dfd-3161-44dd-ae3a-08d2382ff4fc,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.0908850514562253e+17,juliovallejo@gmail.com,Camilo Hernádez Jasso,Dec 2020,7.87,bc51a7b6-7257-48cb-a513-e100fae3840f,1ff23193-1578-4b6f-8435-0c950f2c6e59,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.0908850512212787e+17,javiergallardo@hotmail.com,Guillermo Pedraza,Jul 2012,7.87,058e05ee-b28a-4c67-822f-b5883a2f406e,86373071-41c6-4e73-948c-635fec84fcc8,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.0908850510862746e+17,cebrianyuste@yahoo.com,Julia Duque Téllez,Mar 2018,7.87,f423a409-4142-48eb-a03b-396680056c81,141f0a1e-db3e-47b0-9dce-a5bf9dfc7097,2021-11-25 21:40:37.607 UTC
